Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
12915.50,26.04,-4.70
16681.01,25.93,-3.88
21544.35,25.86,-3.14
27825.59,25.85,-2.47
35938.14,25.79,-2.31
46415.89,25.65,-2.34
59948.43,25.67,-2.15
77426.37,25.58,-2.14
100000.00,25.62,-2.18


Well: C1 - MDCK II
Spectrum: Run.9 measured at 11/01/2008 6:43:49 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7301.49,-81.71
1.29,5768.52,-81.62
1.67,4541.92,-81.84
2.15,3604.56,-81.79
2.78,2842.50,-81.28
3.59,2261.02,-80.85
4.64,1764.73,-81.01
5.99,1401.00,-80.86
7.74,1111.13,-79.45
10.00,893.91,-78.94
12.92,706.68,-77.36
16.68,563.68,-76.25
21.54,449.21,-75.18
27.83,359.42,-73.86
35.94,289.58,-71.65
46.42,235.46,-69.60
59.95,192.08,-67.18
77.43,157.82,-64.53
100.00,131.54,-61.78
129.15,110.33,-59.04
166.81,93.26,-56.34
215.44,79.37,-53.65
278.26,67.94,-50.74
359.38,58.67,-47.58
464.16,50.98,-44.08
599.48,44.79,-40.36
774.26,39.87,-36.20
1000.00,36.09,-31.92
1291.55,33.23,-27.66
1668.10,31.09,-23.53
2154.43,29.53,-19.77
2782.56,28.47,-16.34
3593.81,27.62,-13.49
4641.59,27.00,-10.98
5994.84,26.60,-8.86
7742.64,26.34,-7.15
10000.00,26.14,-5.85
12915.50,25.97,-4.70
16681.01,25.83,-3.76
21544.35,25.78,-3.24
27825.59,25.77,-2.50
35938.14,25.71,-2.26
46415.89,25.57,-2.24
59948.43,25.59,-2.22
77426.37,25.51,-2.09
100000.00,25.47,-2.17


Well: C1 - MDCK II
Spectrum: Run.10 measured at 11/01/2008 7:17:02 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,7272.02,-81.74
1.29,5756.08,-81.61
1.67,4585.51,-81.85
2.15,3603.16,-81.73
2.78,2840.28,-81.43
3.59,2265.31,-81.39
4.64,1779.13,-80.89
5.99,1397.33,-79.88
7.74,1114.10,-79.77
10.00,888.39,-78.15
12.92,704.20,-77.52
16.68,561.56,-76.59
21.54,447.87,-75.13
