Well: C1 - MDCK II
Spectrum: Run.1 measured at 11/01/2008 2:17:37 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6549.32,-82.13
1.29,5179.72,-81.67
1.67,4057.36,-82.00
2.15,3210.36,-81.27
2.78,2520.98,-80.53
3.59,2014.61,-80.12
4.64,1596.72,-79.11
5.99,1255.55,-77.94
7.74,999.32,-77.15
10.00,798.93,-74.19
12.92,638.10,-71.77
16.68,510.23,-69.49
21.54,416.48,-66.69
27.83,341.68,-63.02
35.94,283.52,-58.93
46.42,239.42,-54.82
59.95,205.82,-50.44
77.43,180.85,-46.15
100.00,160.90,-42.31
129.15,145.93,-38.88
166.81,133.47,-35.94
215.44,123.56,-33.57
278.26,115.07,-31.88
359.38,107.78,-30.90
464.16,101.27,-30.72
599.48,94.88,-31.47
774.26,88.12,-32.96
1000.00,80.69,-35.01
1291.55,72.40,-37.34
1668.10,63.67,-39.22
2154.43,55.10,-40.22
2782.56,47.39,-39.99
3593.81,40.80,-38.26
4641.59,35.61,-35.22
5994.84,31.65,-31.41
7742.64,28.86,-27.00
10000.00,26.94,-22.70
12915.50,25.61,-18.61
16681.01,24.77,-15.10
21544.35,24.22,-12.15
27825.59,23.94,-9.59
35938.14,23.72,-7.75
46415.89,23.41,-6.63
59948.43,23.38,-5.46
77426.37,23.23,-4.63
100000.00,23.24,-4.07


Well: C4 - MDCK II
Spectrum: Run.104 measured at 13/01/2008 11:28:09 PM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6546.96,-82.02
1.29,5173.92,-81.85
1.67,4057.46,-81.38
2.15,3199.38,-81.36
2.78,2535.02,-80.87
3.59,2006.16,-79.63
4.64,1582.99,-79.15
5.99,1246.22,-78.52
7.74,988.01,-76.72
10.00,795.38,-74.13
12.92,639.02,-72.20
16.68,509.89,-69.37
21.54,415.06,-66.61
27.83,340.54,-63.00
35.94,282.93,-59.22
46.42,239.24,-54.88
59.95,205.90,-50.41
77.43,180.15,-46.35
100.00,160.99,-42.28
129.15,145.47,-38.95
166.81,132.99,-35.94
215.44,122.99,-33.55
278.26,114.51,-31.81
359.38,107.41,-30.76
464.16,100.85,-30.62
599.48,94.52,-31.25
774.26,87.77,-32.77
1000.00,80.43,-34.81
1291.55,72.20,-37.18
1668.10,63.55,-39.06
2154.43,55.06,-40.14
2782.56,47.31,-39.81
3593.81,40.79,-38.16
4641.59,35.58,-35.18
5994.84,31.71,-31.35
7742.64,28.84,-27.03
10000.00,26.89,-22.64
12915.50,25.60,-18.48
16681.01,24.74,-14.94
21544.35,24.19,-11.95
27825.59,23.90,-9.56
35938.14,23.67,-7.62
46415.89,23.40,-6.36
59948.43,23.26,-5.39
77426.37,23.22,-4.49
100000.00,23.27,-3.88


Well: C4 - MDCK II
Spectrum: Run.105 measured at 14/01/2008 12:01:14 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6541.24,-82.03
1.29,5167.15,-82.01
1.67,4079.91,-81.74
2.15,3204.31,-81.11
2.78,2526.41,-80.94
3.59,2016.43,-79.70
4.64,1596.01,-79.24
5.99,1247.51,-77.49
7.74,1003.21,-76.68
10.00,795.53,-74.63
12.92,638.88,-72.33
16.68,512.31,-69.55
21.54,414.44,-66.41
27.83,340.80,-63.11
35.94,282.85,-59.19
46.42,237.75,-55.00
59.95,205.37,-50.68
77.43,179.37,-46.35
100.00,159.64,-42.58
129.15,144.70,-38.98
166.81,132.18,-35.93
215.44,122.35,-33.61
278.26,114.02,-31.84
359.38,106.84,-30.87
464.16,100.30,-30.60
599.48,93.97,-31.26
774.26,87.59,-32.70
1000.00,80.23,-34.82
1291.55,72.06,-37.06
1668.10,63.54,-39.03
2154.43,55.03,-40.03
2782.56,47.31,-39.79
3593.81,40.80,-38.19
4641.59,35.58,-35.24
5994.84,31.67,-31.39
7742.64,28.83,-27.05
10000.00,26.91,-22.64
12915.50,25.58,-18.63
16681.01,24.70,-15.08
21544.35,24.20,-12.12
27825.59,23.89,-9.59
35938.14,23.65,-7.78
46415.89,23.40,-6.66
59948.43,23.29,-5.53
77426.37,23.22,-4.80
100000.00,23.19,-4.07


Well: C4 - MDCK II
Spectrum: Run.106 measured at 14/01/2008 12:34:20 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6534.74,-81.99
1.29,5171.49,-81.95
1.67,4068.29,-81.41
2.15,3201.65,-80.89
2.78,2544.10,-80.54
3.59,2019.22,-80.18
4.64,1586.28,-78.48
5.99,1258.35,-77.93
7.74,1000.39,-76.39
10.00,797.54,-74.62
12.92,638.22,-71.99
16.68,509.88,-69.70
21.54,414.82,-66.69
27.83,340.73,-63.10
35.94,281.90,-59.44
46.42,237.86,-55.10
59.95,204.13,-50.72
77.43,179.33,-46.51
100.00,159.68,-42.59
129.15,144.24,-39.02
166.81,131.90,-36.02
215.44,121.74,-33.58
278.26,113.47,-31.81
359.38,106.31,-30.75
464.16,99.89,-30.49
599.48,93.64,-31.07
774.26,87.16,-32.59
1000.00,79.90,-34.60
1291.55,71.80,-36.88
1668.10,63.40,-38.83
2154.43,54.98,-39.89
2782.56,47.34,-39.69
3593.81,40.79,-38.11
4641.59,35.56,-35.24
5994.84,31.67,-31.34
7742.64,28.87,-27.04
10000.00,26.89,-22.67
12915.50,25.59,-18.64
16681.01,24.70,-15.15
21544.35,24.19,-12.18
27825.59,23.88,-9.58
35938.14,23.67,-7.80
46415.89,23.36,-6.58
59948.43,23.30,-5.52
77426.37,23.21,-4.57
100000.00,23.18,-4.10


Well: C4 - MDCK II
Spectrum: Run.107 measured at 14/01/2008 1:07:25 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6542.33,-81.92
1.29,5155.78,-81.96
1.67,4065.82,-81.65
2.15,3207.78,-81.36
2.78,2563.19,-80.58
3.59,2001.07,-80.25
4.64,1583.10,-79.10
5.99,1242.74,-77.88
7.74,994.48,-77.10
10.00,796.51,-73.93
12.92,637.52,-72.21
16.68,509.52,-69.98
21.54,415.71,-67.00
27.83,339.90,-63.19
35.94,281.79,-59.39
46.42,237.38,-55.14
59.95,203.78,-51.02
77.43,178.72,-46.68
100.00,159.22,-42.69
129.15,143.65,-39.12
166.81,131.60,-36.13
215.44,121.45,-33.70
278.26,113.03,-31.86
359.38,105.92,-30.77
464.16,99.60,-30.50
599.48,93.45,-31.07
774.26,86.96,-32.49
1000.00,79.74,-34.52
1291.55,71.77,-36.79
1668.10,63.35,-38.70
2154.43,54.98,-39.79
2782.56,47.34,-39.59
3593.81,40.82,-38.08
4641.59,35.64,-35.16
5994.84,31.72,-31.37
7742.64,28.87,-27.03
10000.00,26.93,-22.67
12915.50,25.61,-18.59
16681.01,24.76,-15.17
21544.35,24.20,-12.14
27825.59,23.92,-9.63
35938.14,23.67,-7.79
46415.89,23.43,-6.57
59948.43,23.30,-5.61
77426.37,23.29,-4.70
100000.00,23.20,-4.17


Well: C4 - MDCK II
Spectrum: Run.108 measured at 14/01/2008 1:40:32 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6557.83,-82.08
1.29,5178.71,-81.74
1.67,4061.98,-81.46
2.15,3209.88,-81.12
2.78,2545.63,-80.80
3.59,2011.83,-80.18
4.64,1582.66,-79.10
5.99,1265.39,-78.15
7.74,991.06,-76.39
10.00,799.69,-74.79
12.92,638.80,-72.61
16.68,510.23,-69.63
21.54,413.80,-66.77
27.83,339.44,-63.44
35.94,281.95,-59.47
46.42,237.69,-55.35
59.95,204.07,-51.00
77.43,178.34,-46.73
100.00,158.96,-42.76
129.15,143.29,-39.20
166.81,130.93,-36.12
215.44,121.09,-33.63
278.26,112.77,-31.91
359.38,105.65,-30.69
464.16,99.22,-30.41
599.48,93.05,-30.94
774.26,86.75,-32.34
1000.00,79.59,-34.38
1291.55,71.74,-36.64
1668.10,63.37,-38.57
2154.43,55.00,-39.70
2782.56,47.43,-39.54
3593.81,40.92,-37.95
4641.59,35.71,-35.08
5994.84,31.78,-31.28
7742.64,28.93,-26.99
10000.00,26.95,-22.64
12915.50,25.66,-18.67
16681.01,24.81,-15.08
21544.35,24.24,-12.10
27825.59,23.92,-9.57
35938.14,23.67,-7.83
46415.89,23.45,-6.61
59948.43,23.36,-5.48
77426.37,23.29,-4.59
100000.00,23.21,-4.08


Well: C4 - MDCK II
Spectrum: Run.109 measured at 14/01/2008 2:13:41 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6559.29,-82.06
1.29,5180.96,-81.95
1.67,4059.62,-81.75
2.15,3221.77,-81.34
2.78,2561.78,-80.61
3.59,2012.29,-80.02
4.64,1585.66,-78.96
5.99,1258.63,-77.85
7.74,1000.33,-76.70
10.00,798.67,-74.53
12.92,634.95,-72.06
16.68,510.93,-69.94
21.54,415.16,-67.02
27.83,339.46,-63.62
35.94,281.82,-59.76
46.42,237.32,-55.47
59.95,203.39,-51.14
77.43,178.26,-46.89
100.00,158.10,-42.87
129.15,142.90,-39.23
166.81,130.68,-36.16
215.44,120.67,-33.70
278.26,112.31,-31.82
359.38,105.29,-30.64
464.16,98.90,-30.29
599.48,92.88,-30.83
774.26,86.53,-32.20
1000.00,79.54,-34.17
1291.55,71.70,-36.45
1668.10,63.31,-38.39
2154.43,55.02,-39.53
2782.56,47.43,-39.38
3593.81,40.90,-37.86
4641.59,35.72,-34.95
5994.84,31.78,-31.20
7742.64,28.97,-26.94
10000.00,26.98,-22.54
12915.50,25.68,-18.58
16681.01,24.82,-15.11
21544.35,24.24,-12.12
27825.59,23.93,-9.44
35938.14,23.73,-7.69
46415.89,23.48,-6.48
59948.43,23.36,-5.38
77426.37,23.32,-4.54
100000.00,23.26,-3.97


Well: C4 - MDCK II
Spectrum: Run.110 measured at 14/01/2008 2:46:51 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6555.34,-82.09
1.29,5161.26,-81.84
1.67,4060.54,-81.49
2.15,3229.16,-81.43
2.78,2557.03,-80.39
3.59,2028.94,-80.28
4.64,1585.46,-79.87
5.99,1262.74,-78.78
7.74,1000.77,-77.15
10.00,799.93,-74.27
12.92,636.20,-72.71
16.68,511.35,-69.90
21.54,415.37,-67.07
27.83,338.61,-63.51
35.94,282.04,-59.73
46.42,236.78,-55.45
59.95,203.20,-51.12
77.43,177.79,-46.86
100.00,157.45,-42.94
129.15,142.47,-39.21
166.81,130.03,-36.25
215.44,120.16,-33.65
278.26,111.92,-31.75
359.38,104.86,-30.54
464.16,98.51,-30.18
599.48,92.47,-30.71
774.26,86.29,-32.01
1000.00,79.33,-33.96
1291.55,71.59,-36.26
1668.10,63.28,-38.17
2154.43,55.01,-39.29
2782.56,47.39,-39.22
3593.81,40.93,-37.71
4641.59,35.72,-34.90
5994.84,31.78,-31.22
7742.64,28.97,-26.86
10000.00,26.98,-22.53
12915.50,25.65,-18.50
16681.01,24.81,-14.97
21544.35,24.25,-12.07
27825.59,23.92,-9.51
35938.14,23.70,-7.73
46415.89,23.44,-6.46
59948.43,23.32,-5.44
77426.37,23.22,-4.59
100000.00,23.23,-3.96


Well: C4 - MDCK II
Spectrum: Run.111 measured at 14/01/2008 3:20:01 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6529.54,-82.04
1.29,5162.45,-81.95
1.67,4057.12,-81.94
2.15,3234.13,-81.17
2.78,2553.05,-80.51
3.59,2004.64,-80.17
4.64,1588.21,-79.40
5.99,1264.84,-77.84
7.74,998.13,-77.12
10.00,800.04,-74.44
12.92,638.80,-72.92
16.68,511.34,-69.98
21.54,414.68,-66.98
27.83,338.28,-63.72
35.94,281.07,-59.89
46.42,236.35,-55.59
59.95,203.30,-51.32
77.43,177.09,-47.02
100.00,157.19,-43.06
129.15,141.81,-39.43
166.81,129.63,-36.28
215.44,119.58,-33.73
278.26,111.35,-31.81
359.38,104.38,-30.54
464.16,98.12,-30.11
599.48,92.15,-30.60
774.26,86.03,-31.92
1000.00,79.10,-33.84
1291.55,71.42,-36.09
1668.10,63.16,-38.06
2154.43,55.00,-39.25
2782.56,47.42,-39.14
3593.81,40.93,-37.69
4641.59,35.74,-34.91
5994.84,31.78,-31.12
7742.64,28.90,-26.96
10000.00,26.94,-22.64
12915.50,25.62,-18.54
16681.01,24.76,-15.05
21544.35,24.21,-12.06
27825.59,23.90,-9.55
35938.14,23.63,-7.73
46415.89,23.44,-6.45
59948.43,23.30,-5.47
77426.37,23.25,-4.55
100000.00,23.26,-4.01


Well: C4 - MDCK II
Spectrum: Run.112 measured at 14/01/2008 3:53:12 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6538.42,-82.19
1.29,5163.86,-82.14
1.67,4068.60,-81.56
2.15,3205.45,-81.51
2.78,2559.10,-80.86
3.59,2016.96,-80.14
4.64,1586.12,-79.48
5.99,1258.14,-78.00
7.74,999.39,-77.31
10.00,798.35,-74.80
12.92,637.63,-72.48
16.68,510.32,-69.34
21.54,412.86,-67.12
27.83,338.10,-63.57
35.94,280.99,-59.83
46.42,236.27,-55.68
59.95,202.86,-51.35
77.43,176.82,-47.17
100.00,156.87,-43.04
129.15,141.49,-39.37
166.81,129.23,-36.30
215.44,119.15,-33.68
278.26,111.01,-31.79
359.38,104.01,-30.55
464.16,97.77,-30.06
599.48,91.85,-30.50
774.26,85.69,-31.77
1000.00,78.97,-33.71
1291.55,71.29,-35.95
1668.10,63.13,-37.95
2154.43,54.93,-39.09
2782.56,47.37,-39.10
3593.81,40.93,-37.65
4641.59,35.72,-34.84
5994.84,31.76,-31.18
7742.64,28.93,-26.85
10000.00,26.96,-22.61
12915.50,25.61,-18.58
16681.01,24.73,-15.10
21544.35,24.18,-12.06
27825.59,23.88,-9.44
35938.14,23.62,-7.67
46415.89,23.40,-6.49
59948.43,23.30,-5.42
77426.37,23.24,-4.56
100000.00,23.17,-3.95


Well: C4 - MDCK II
Spectrum: Run.113 measured at 14/01/2008 4:26:24 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6557.86,-82.28
1.29,5178.50,-81.96
1.67,4058.79,-81.93
2.15,3224.19,-81.40
2.78,2551.41,-80.74
3.59,1992.69,-80.54
4.64,1593.53,-79.44
5.99,1241.19,-78.60
7.74,996.81,-78.09
10.00,795.38,-74.40
12.92,637.65,-72.65
16.68,510.60,-70.02
21.54,414.25,-67.22
27.83,337.50,-64.00
35.94,281.09,-60.12
46.42,235.77,-55.84
59.95,201.99,-51.55
77.43,176.22,-47.18
100.00,156.40,-43.17
129.15,140.76,-39.52
166.81,128.60,-36.41
215.44,118.73,-33.82
278.26,110.43,-31.82
359.38,103.59,-30.54
464.16,97.43,-30.04
599.48,91.50,-30.41
774.26,85.44,-31.73
1000.00,78.73,-33.65
1291.55,71.17,-35.88
1668.10,63.10,-37.88
2154.43,54.97,-39.06
2782.56,47.41,-39.04
3593.81,40.96,-37.67
4641.59,35.76,-34.90
5994.84,31.79,-31.27
7742.64,28.94,-27.02
10000.00,26.94,-22.78
12915.50,25.63,-18.74
16681.01,24.77,-15.23
21544.35,24.19,-12.21
27825.59,23.87,-9.64
35938.14,23.65,-7.82
46415.89,23.38,-6.58
59948.43,23.28,-5.59
77426.37,23.21,-4.63
100000.00,23.17,-4.06


Well: C4 - MDCK II
Spectrum: Run.114 measured at 14/01/2008 4:59:37 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6573.56,-82.09
1.29,5199.45,-81.93
1.67,4077.98,-81.73
2.15,3215.91,-81.27
2.78,2547.11,-80.84
3.59,2020.00,-80.64
4.64,1590.91,-79.84
5.99,1255.44,-78.82
7.74,997.26,-77.26
10.00,795.65,-74.52
12.92,634.80,-73.01
16.68,510.99,-70.32
21.54,413.04,-67.38
27.83,337.35,-63.84
35.94,279.67,-60.25
46.42,235.12,-56.00
59.95,201.31,-51.70
77.43,175.60,-47.31
100.00,155.81,-43.32
129.15,140.42,-39.60
166.81,128.11,-36.56
215.44,118.30,-33.92
278.26,110.02,-31.86
359.38,103.19,-30.59
464.16,97.08,-30.03
599.48,91.24,-30.48
774.26,85.17,-31.65
1000.00,78.57,-33.53
1291.55,71.12,-35.75
1668.10,63.07,-37.75
2154.43,54.95,-38.97
2782.56,47.49,-39.00
3593.81,40.96,-37.55
4641.59,35.75,-34.93
5994.84,31.86,-31.33
7742.64,28.95,-27.04
10000.00,26.97,-22.81
12915.50,25.66,-18.74
16681.01,24.73,-15.28
21544.35,24.17,-12.31
27825.59,23.88,-9.76
35938.14,23.64,-7.88
46415.89,23.38,-6.62
59948.43,23.27,-5.65
77426.37,23.20,-4.70
100000.00,23.15,-3.96


Well: C4 - MDCK II
Spectrum: Run.115 measured at 14/01/2008 5:32:51 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6574.06,-82.07
1.29,5152.54,-81.73
1.67,4073.23,-81.89
2.15,3226.48,-81.63
2.78,2545.00,-80.74
3.59,2015.90,-80.37
4.64,1592.28,-79.90
5.99,1253.61,-78.24
7.74,985.83,-76.98
10.00,799.76,-74.12
12.92,635.63,-72.48
16.68,511.19,-69.99
21.54,414.18,-67.22
27.83,337.67,-64.18
35.94,279.78,-60.21
46.42,235.32,-55.87
59.95,201.68,-51.65
77.43,175.26,-47.28
100.00,155.69,-43.29
129.15,140.10,-39.51
166.81,127.92,-36.45
215.44,117.94,-33.82
278.26,109.73,-31.79
359.38,102.85,-30.43
464.16,96.78,-29.87
599.48,90.97,-30.21
774.26,84.97,-31.44
1000.00,78.39,-33.28
1291.55,70.98,-35.56
1668.10,62.99,-37.53
2154.43,54.99,-38.76
2782.56,47.49,-38.75
3593.81,41.00,-37.41
4641.59,35.80,-34.78
5994.84,31.85,-31.11
7742.64,28.93,-26.87
10000.00,27.00,-22.56
12915.50,25.63,-18.53
16681.01,24.78,-15.04
21544.35,24.21,-12.05
27825.59,23.90,-9.53
35938.14,23.66,-7.70
46415.89,23.36,-6.54
59948.43,23.24,-5.54
77426.37,23.17,-4.64
100000.00,23.17,-3.97


Well: C4 - MDCK II
Spectrum: Run.116 measured at 14/01/2008 6:06:05 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6564.60,-82.23
1.29,5176.16,-81.94
1.67,4064.51,-81.65
2.15,3240.21,-80.97
2.78,2537.54,-81.24
3.59,2007.65,-79.99
4.64,1596.64,-79.47
5.99,1265.31,-78.68
7.74,997.35,-77.26
10.00,799.42,-74.83
12.92,633.05,-72.78
16.68,508.80,-70.18
21.54,412.02,-67.36
27.83,337.16,-64.05
35.94,279.13,-60.28
46.42,234.65,-56.11
59.95,200.48,-51.79
77.43,174.82,-47.56
100.00,155.04,-43.43
129.15,139.60,-39.83
166.81,127.51,-36.56
215.44,117.39,-33.87
278.26,109.33,-31.83
359.38,102.37,-30.49
464.16,96.35,-29.93
599.48,90.72,-30.22
774.26,84.73,-31.43
1000.00,78.24,-33.28
1291.55,70.82,-35.48
1668.10,62.94,-37.44
2154.43,54.99,-38.75
2782.56,47.48,-38.83
3593.81,41.10,-37.48
4641.59,35.83,-34.84
5994.84,31.85,-31.19
7742.64,29.02,-27.10
10000.00,26.96,-22.79
12915.50,25.59,-18.74
16681.01,24.72,-15.24
21544.35,24.13,-12.28
27825.59,23.87,-9.71
35938.14,23.58,-7.80
46415.89,23.34,-6.59
59948.43,23.20,-5.57
77426.37,23.22,-4.65
100000.00,23.13,-4.14


Well: C4 - MDCK II
Spectrum: Run.117 measured at 14/01/2008 6:39:20 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6571.23,-82.13
1.29,5172.50,-81.77
1.67,4090.14,-81.64
2.15,3231.45,-81.46
2.78,2536.82,-80.95
3.59,2014.38,-80.02
4.64,1586.47,-79.57
5.99,1236.07,-78.12
7.74,998.04,-76.94
10.00,801.64,-74.42
12.92,635.15,-72.61
16.68,510.16,-70.06
21.54,413.35,-67.46
27.83,337.64,-64.12
35.94,279.49,-60.35
46.42,234.81,-56.26
59.95,200.41,-51.75
77.43,174.66,-47.56
100.00,154.70,-43.53
129.15,139.27,-39.75
166.81,127.11,-36.55
215.44,117.16,-33.76
278.26,108.99,-31.75
359.38,102.15,-30.38
464.16,96.12,-29.76
599.48,90.46,-30.03
774.26,84.59,-31.20
1000.00,78.00,-33.07
1291.55,70.84,-35.18
1668.10,62.93,-37.22
2154.43,54.97,-38.57
2782.56,47.55,-38.61
3593.81,41.11,-37.33
4641.59,35.84,-34.66
5994.84,31.86,-31.09
7742.64,28.95,-26.88
10000.00,26.99,-22.67
12915.50,25.63,-18.66
16681.01,24.75,-15.11
21544.35,24.19,-12.20
27825.59,23.87,-9.51
35938.14,23.59,-7.79
46415.89,23.32,-6.45
59948.43,23.22,-5.46
77426.37,23.20,-4.52
100000.00,23.21,-4.01


Well: C4 - MDCK II
Spectrum: Run.118 measured at 14/01/2008 7:12:35 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6564.19,-82.08
1.29,5175.31,-82.12
1.67,4076.47,-81.84
2.15,3246.25,-81.31
2.78,2503.84,-81.05
3.59,2000.05,-80.87
4.64,1577.21,-80.03
5.99,1257.27,-78.90
7.74,1000.93,-77.20
10.00,799.55,-74.66
12.92,633.25,-72.89
16.68,511.52,-70.51
21.54,414.02,-67.55
27.83,337.60,-63.99
35.94,278.91,-60.41
46.42,234.69,-56.19
59.95,200.41,-51.90
77.43,174.39,-47.59
100.00,154.27,-43.57
129.15,139.04,-39.77
166.81,126.69,-36.51
215.44,116.83,-33.90
278.26,108.69,-31.77
359.38,101.74,-30.37
464.16,95.88,-29.71
599.48,90.18,-29.99
774.26,84.42,-31.13
1000.00,77.95,-32.94
1291.55,70.80,-35.12
1668.10,62.97,-37.11
2154.43,55.01,-38.39
2782.56,47.62,-38.51
3593.81,41.16,-37.28
4641.59,35.97,-34.66
5994.84,31.96,-31.07
7742.64,29.04,-26.92
10000.00,27.03,-22.69
12915.50,25.69,-18.70
16681.01,24.78,-15.16
21544.35,24.20,-12.15
27825.59,23.89,-9.71
35938.14,23.68,-7.84
46415.89,23.39,-6.52
59948.43,23.29,-5.46
77426.37,23.24,-4.56
100000.00,23.20,-4.05


Well: C4 - MDCK II
Spectrum: Run.119 measured at 14/01/2008 7:45:50 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6529.73,-82.14
1.29,5189.22,-82.06
1.67,4068.79,-81.51
2.15,3245.82,-81.44
2.78,2550.30,-81.07
3.59,2020.65,-80.85
4.64,1588.64,-79.80
5.99,1267.78,-78.80
7.74,998.16,-76.89
10.00,798.12,-74.59
12.92,638.06,-72.71
16.68,512.06,-70.56
21.54,413.86,-67.50
27.83,337.42,-64.23
35.94,278.86,-60.73
46.42,234.19,-56.39
59.95,199.91,-51.96
77.43,173.97,-47.62
100.00,153.86,-43.65
129.15,138.89,-39.92
166.81,126.52,-36.62
215.44,116.60,-33.90
278.26,108.32,-31.77
359.38,101.54,-30.38
464.16,95.62,-29.72
599.48,90.03,-30.00
774.26,84.16,-31.09
1000.00,77.82,-32.90
1291.55,70.73,-35.05
1668.10,62.89,-37.06
2154.43,55.09,-38.38
2782.56,47.68,-38.49
3593.81,41.21,-37.25
4641.59,35.98,-34.73
5994.84,32.02,-31.15
7742.64,29.07,-27.05
10000.00,27.03,-22.80
12915.50,25.67,-18.75
16681.01,24.78,-15.25
21544.35,24.19,-12.21
27825.59,23.87,-9.69
35938.14,23.63,-7.84
46415.89,23.42,-6.64
59948.43,23.29,-5.52
77426.37,23.22,-4.72
100000.00,23.19,-4.12


Well: C4 - MDCK II
Spectrum: Run.120 measured at 14/01/2008 8:19:06 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6587.05,-82.26
1.29,5180.67,-81.90
1.67,4083.71,-81.82
2.15,3238.26,-81.42
2.78,2547.86,-81.40
3.59,1998.22,-80.46
4.64,1600.59,-79.27
5.99,1276.12,-78.46
7.74,996.63,-77.76
10.00,796.62,-75.07
12.92,636.58,-72.67
16.68,511.80,-70.27
21.54,412.12,-67.67
27.83,336.37,-64.36
35.94,277.79,-60.60
46.42,233.73,-56.59
59.95,199.11,-52.18
77.43,173.74,-47.88
100.00,153.74,-43.80
129.15,138.20,-40.03
166.81,125.75,-36.71
215.44,116.02,-34.04
278.26,107.94,-31.89
359.38,101.14,-30.44
464.16,95.26,-29.72
599.48,89.69,-29.93
774.26,83.98,-31.06
1000.00,77.64,-32.87
1291.55,70.63,-35.01
1668.10,62.88,-36.99
2154.43,55.00,-38.34
2782.56,47.63,-38.52
3593.81,41.16,-37.30
4641.59,35.96,-34.77
5994.84,31.99,-31.17
7742.64,29.06,-27.11
10000.00,27.04,-22.84
12915.50,25.64,-18.83
16681.01,24.71,-15.33
21544.35,24.18,-12.36
27825.59,23.88,-9.82
35938.14,23.64,-7.92
46415.89,23.42,-6.61
59948.43,23.25,-5.53
77426.37,23.15,-4.78
100000.00,23.19,-4.17


Well: C4 - MDCK II
Spectrum: Run.121 measured at 14/01/2008 8:52:22 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6584.85,-82.06
1.29,5188.76,-82.12
1.67,4090.27,-81.48
2.15,3222.27,-81.59
2.78,2545.90,-80.62
3.59,1985.25,-79.99
4.64,1600.20,-79.83
5.99,1270.63,-78.83
7.74,987.79,-76.81
10.00,797.46,-74.84
12.92,631.10,-72.72
16.68,511.86,-70.65
21.54,412.96,-67.93
27.83,337.80,-64.34
35.94,279.06,-60.49
46.42,234.45,-56.56
59.95,199.58,-52.18
77.43,173.80,-47.81
100.00,153.67,-43.73
129.15,138.23,-39.98
166.81,125.82,-36.67
215.44,115.94,-33.93
278.26,107.79,-31.76
359.38,101.00,-30.30
464.16,95.14,-29.61
599.48,89.60,-29.77
774.26,83.98,-30.83
1000.00,77.65,-32.61
1291.55,70.65,-34.73
1668.10,62.93,-36.83
2154.43,55.10,-38.12
2782.56,47.73,-38.26
3593.81,41.31,-37.09
4641.59,36.06,-34.61
5994.84,32.04,-31.11
7742.64,29.15,-26.97
10000.00,27.11,-22.75
12915.50,25.72,-18.79
16681.01,24.84,-15.23
21544.35,24.24,-12.26
27825.59,23.92,-9.60
35938.14,23.69,-7.80
46415.89,23.43,-6.60
59948.43,23.33,-5.61
77426.37,23.25,-4.56
100000.00,23.19,-4.04


Well: C4 - MDCK II
Spectrum: Run.122 measured at 14/01/2008 9:25:37 AM

frequency (Hz),impedance magnitude (Ohm),phase (deg)
1.00,6593.96,-82.31
1.29,5193.38,-82.26
1.67,4068.13,-81.77
2.15,3240.69,-81.04
2.78,2528.90,-80.86
3.59,2004.80,-80.40
4.64,1590.79,-79.65
5.99,1260.48,-78.06
7.74,992.74,-76.75
10.00,800.62,-74.80
12.92,644.34,-73.06
16.68,512.95,-70.64
21.54,412.19,-67.75
27.83,337.25,-64.48
35.94,279.05,-60.71
46.42,233.08,-56.70
59.95,199.87,-52.28
77.43,173.11,-47.96
100.00,153.27,-43.82
129.15,137.95,-40.01
166.81,125.46,-36.74
215.44,115.55,-34.03
278.26,107.50,-31.78
359.38,100.63,-30.33
464.16,94.79,-29.61
599.48,89.30,-29.78
774.26,83.72,-30.76
1000.00,77.48,-32.53
1291.55,70.46,-34.66
1668.10,62.89,-36.70
2154.43,55.08,-38.02
2782.56,47.73,-38.28
3593.81,41.31,-37.18
4641.59,36.06,-34.70
5994.84,32.03,-31.13
7742.64,29.13,-27.02
10000.00,27.08,-22.88
12915.50,25.70,-18.86
16681.01,24.82,-15.32
21544.35,24.22,-12.27
27825.59,23.89,-9.71
35938.14,23.65,-7.87
46415.89,23.36,-6.68
